# APEX, Llano de Chajnantor, alt. 5100m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
            0.500    0.800    1.000    1.500    2.000 
 236.600    0.963    0.951    0.943    0.923    0.902 
 236.700    0.962    0.950    0.942    0.922    0.901 
 236.800    0.960    0.948    0.940    0.920    0.900 
 236.900    0.956    0.944    0.936    0.916    0.896 
 237.000    0.945    0.933    0.925    0.905    0.885 
 237.100    0.905    0.894    0.886    0.867    0.848 
 237.200    0.911    0.900    0.892    0.873    0.854 
 237.300    0.946    0.934    0.926    0.906    0.886 
 237.400    0.956    0.944    0.936    0.916    0.896 
 237.500    0.960    0.948    0.940    0.920    0.900 
 237.600    0.962    0.950    0.942    0.922    0.901 
 237.700    0.964    0.952    0.943    0.923    0.903 
 237.800    0.965    0.952    0.944    0.924    0.903 
 237.900    0.965    0.953    0.944    0.924    0.904 
 238.000    0.965    0.953    0.945    0.924    0.904 
 238.100    0.965    0.953    0.945    0.924    0.904 
 238.200    0.966    0.953    0.945    0.925    0.904 
 238.300    0.965    0.952    0.944    0.924    0.903 
 238.400    0.962    0.950    0.942    0.921    0.901 
 238.500    0.963    0.950    0.942    0.922    0.901 
 238.600    0.962    0.950    0.942    0.921    0.901 
 238.700    0.961    0.948    0.940    0.920    0.899 
 238.800    0.958    0.945    0.937    0.917    0.896 
 238.900    0.951    0.939    0.931    0.911    0.890 
 239.000    0.932    0.920    0.912    0.892    0.873 
 239.100    0.847    0.836    0.829    0.811    0.792 
 239.200    0.936    0.924    0.916    0.896    0.876 
 239.300    0.951    0.939    0.931    0.910    0.890 
 239.400    0.957    0.944    0.936    0.916    0.895 
 239.500    0.959    0.947    0.939    0.918    0.897 
 239.600    0.960    0.948    0.939    0.919    0.898 
 239.700    0.962    0.949    0.941    0.920    0.899 
 239.800    0.962    0.949    0.941    0.920    0.900 
 239.900    0.962    0.949    0.941    0.920    0.900 
 240.000    0.962    0.949    0.941    0.920    0.900 
 240.100    0.963    0.951    0.943    0.922    0.901 
 240.200    0.964    0.951    0.943    0.922    0.901 
 240.300    0.964    0.951    0.943    0.922    0.901 
 240.400    0.964    0.952    0.943    0.922    0.901 
 240.500    0.964    0.952    0.943    0.922    0.901 
 240.600    0.965    0.952    0.944    0.923    0.902 
 240.700    0.965    0.952    0.944    0.923    0.902 
 240.800    0.965    0.952    0.944    0.923    0.902 
 240.900    0.965    0.952    0.944    0.922    0.901 
 241.000    0.965    0.952    0.944    0.923    0.902 
 241.100    0.965    0.952    0.944    0.922    0.901 
 241.200    0.963    0.951    0.942    0.921    0.900 
 241.300    0.964    0.951    0.943    0.921    0.900 
 241.400    0.964    0.952    0.943    0.922    0.901 
 241.500    0.964    0.951    0.943    0.922    0.900 
 241.600    0.964    0.951    0.943    0.921    0.900 
 241.700    0.963    0.950    0.942    0.921    0.899 
 241.800    0.962    0.950    0.941    0.920    0.898 
 241.900    0.961    0.948    0.939    0.918    0.897 
 242.000    0.958    0.945    0.937    0.915    0.894 
 242.100    0.952    0.940    0.931    0.910    0.889 
 242.200    0.938    0.925    0.917    0.896    0.876 
 242.300    0.870    0.859    0.851    0.832    0.812 
 242.400    0.926    0.913    0.905    0.885    0.864 
 242.500    0.948    0.935    0.927    0.906    0.885 
 242.600    0.955    0.943    0.934    0.913    0.892 
 242.700    0.958    0.946    0.937    0.916    0.895 
 242.800    0.960    0.947    0.939    0.917    0.896 
 242.900    0.960    0.947    0.939    0.918    0.896 
 243.000    0.960    0.947    0.938    0.917    0.896 
 243.100    0.958    0.945    0.937    0.916    0.894 
 243.200    0.954    0.942    0.933    0.912    0.891 
 243.300    0.945    0.933    0.924    0.903    0.882 
 243.400    0.913    0.901    0.893    0.873    0.853 
 243.500    0.909    0.897    0.889    0.868    0.848 
 243.600    0.945    0.932    0.924    0.903    0.882 
 243.700    0.955    0.942    0.934    0.912    0.891 
 243.800    0.959    0.946    0.937    0.916    0.895 
 243.900    0.960    0.947    0.939    0.918    0.896 
 244.000    0.960    0.947    0.939    0.917    0.896 
 244.100    0.955    0.943    0.934    0.913    0.892 
 244.200    0.954    0.941    0.933    0.911    0.890 
 244.300    0.961    0.948    0.940    0.918    0.897 
 244.400    0.963    0.950    0.942    0.920    0.899 
 244.500    0.965    0.952    0.944    0.922    0.901 
 244.600    0.966    0.953    0.944    0.923    0.901 
 244.700    0.966    0.953    0.944    0.923    0.901 
 244.800    0.966    0.953    0.944    0.923    0.901 
 244.900    0.966    0.953    0.945    0.923    0.901 
 245.000    0.966    0.953    0.945    0.923    0.901 
 245.100    0.966    0.953    0.945    0.923    0.901 
 245.200    0.966    0.953    0.945    0.923    0.902 
 245.300    0.966    0.953    0.945    0.923    0.902 
 245.400    0.966    0.953    0.945    0.923    0.902 
 245.500    0.966    0.953    0.945    0.923    0.901 
 245.600    0.966    0.953    0.945    0.923    0.901 
 245.700    0.966    0.953    0.945    0.923    0.901 
 245.800    0.966    0.953    0.944    0.923    0.901 
 245.900    0.966    0.953    0.945    0.923    0.901 
 246.000    0.966    0.953    0.945    0.923    0.901 
 246.100    0.966    0.953    0.945    0.923    0.901 
 246.200    0.966    0.953    0.944    0.923    0.901 
 246.300    0.966    0.953    0.944    0.923    0.901 
 246.400    0.966    0.953    0.944    0.922    0.901 
 246.500    0.965    0.952    0.943    0.921    0.899 
 246.600    0.966    0.953    0.944    0.922    0.900 
 246.700    0.966    0.953    0.944    0.922    0.900 
 246.800    0.965    0.952    0.944    0.922    0.900 
 246.900    0.965    0.952    0.943    0.922    0.900 
 247.000    0.965    0.952    0.943    0.921    0.899 
 247.100    0.965    0.952    0.943    0.921    0.899 
 247.200    0.964    0.951    0.942    0.921    0.899 
 247.300    0.964    0.951    0.942    0.920    0.898 
 247.400    0.963    0.950    0.941    0.919    0.897 
 247.500    0.962    0.949    0.940    0.918    0.896 
 247.600    0.959    0.946    0.938    0.916    0.894 
 247.700    0.953    0.940    0.931    0.910    0.888 
 247.800    0.948    0.935    0.926    0.904    0.883 
 247.900    0.953    0.940    0.931    0.909    0.887 
 248.000    0.948    0.935    0.926    0.905    0.883 
 248.100    0.928    0.916    0.907    0.886    0.865 
 248.200    0.871    0.859    0.851    0.831    0.811 
 248.300    0.938    0.926    0.917    0.895    0.874 
 248.400    0.952    0.939    0.930    0.908    0.887 
 248.500    0.957    0.944    0.935    0.913    0.891 
 248.600    0.960    0.946    0.938    0.916    0.894 
 248.700    0.961    0.948    0.939    0.917    0.895 
 248.800    0.961    0.948    0.939    0.917    0.895 
 248.900    0.961    0.948    0.939    0.917    0.895 
 249.000    0.961    0.948    0.939    0.917    0.895 
 249.100    0.961    0.948    0.939    0.917    0.894 
 249.200    0.961    0.948    0.939    0.917    0.894 
 249.300    0.960    0.946    0.937    0.915    0.893 
 249.400    0.957    0.944    0.935    0.913    0.891 
 249.500    0.954    0.940    0.932    0.910    0.888 
 249.600    0.946    0.933    0.924    0.903    0.881 
 249.700    0.927    0.915    0.906    0.884    0.863 
 249.800    0.866    0.854    0.846    0.826    0.806 
 249.900    0.897    0.884    0.876    0.855    0.834 
 250.000    0.890    0.877    0.869    0.849    0.828 
 250.100    0.936    0.923    0.914    0.893    0.871 
 250.200    0.949    0.935    0.927    0.905    0.883 
 250.300    0.954    0.941    0.932    0.910    0.888 
 250.400    0.958    0.945    0.936    0.913    0.891 
 250.500    0.960    0.946    0.937    0.915    0.893 
 250.600    0.961    0.948    0.939    0.916    0.894 
 250.700    0.962    0.948    0.939    0.917    0.895 
 250.800    0.963    0.950    0.941    0.918    0.896 
 250.900    0.964    0.950    0.941    0.919    0.896 
 251.000    0.965    0.951    0.942    0.920    0.897 
 251.100    0.965    0.951    0.942    0.920    0.897 
 251.200    0.965    0.951    0.942    0.920    0.897 
 251.300    0.965    0.951    0.942    0.920    0.897 
